Título	Autor	Año	Idioma
Relatos cortos	Antón Chéjov	1886	Ruso
Nostromo	Joseph Conrad	1904	Inglés
Grandes Esperanzas	Charles Dickens	1861	Inglés
Jacques el fatalista	Denis Diderot	1796	Francés
Berlin Alexanderplatz	Alfred Döblin	1929	Alemán
Crimen y castigo	Fiódor Dostoievski	1866	Ruso
El idiota	Fiódor Dostoievski	1869	Ruso
Los endemoniados	Fiódor Dostoievski	1872	Ruso
Los hermanos Karamazov	Fiódor Dostoievski	1880	Ruso
Middlemarch	George Eliot	1871	Inglés
El hombre invisible	Ralph Ellison	1952	Inglés
